en_Tienda;edad;articulo;monto;region;;;;;;;;;;;
fisica;52;6;270.89;cartago;;;;;;;;;;;
fisica;26;3;1622.6;puntarenas;;;;;;;;;;;
fisica;44;2;111.12;cartago;;;;;;;;;;;
fisica;23;2;958.74;puntarenas;;;;;;;;;;;
virtual;42;4;399.91;san jose;;;;;;;;;;;
virtual;32;3;403.04;puntarenas;;;;;;;;;;;
virtual;32;5;206.75;limon;;;;;;;;;;;
fisica;55;3;91.58;cartago;;;;;;;;;;;
fisica;56;3;963.93;limon;;;;;;;;;;;
fisica;76;3;204.65;cartago;;;;;;;;;;;
virtual;65;4;686.16;limon;;;;;;;;;;;
fisica;43;5;269.77;san jose;;;;;;;;;;;
fisica;36;5;1929.4;puntarenas;;;;;;;;;;;
virtual;27;7;365.69;puntarenas;;;;;;;;;;;
fisica;36;4;209.36;puntarenas;;;;;;;;;;;
virtual;42;5;1331.8;puntarenas;;;;;;;;;;;
virtual;36;3;1825.1;san jose;;;;;;;;;;;
fisica;82;7;268.59;cartago;;;;;;;;;;;
virtual;40;5;1672.4;san jose;;;;;;;;;;;
virtual;36;8;774.97;san jose;;;;;;;;;;;
virtual;74;3;123.5;san jose;;;;;;;;;;;
fisica;54;7;2208.1;puntarenas;;;;;;;;;;;
fisica;60;7;23.04;cartago;;;;;;;;;;;
fisica;33;5;2106.7;puntarenas;;;;;;;;;;;
virtual;41;7;217.67;limon;;;;;;;;;;;
virtual;40;4;1524.3;san jose;;;;;;;;;;;
virtual;46;4;643.07;san jose;;;;;;;;;;;
fisica;48;2;1553.8;puntarenas;;;;;;;;;;;
virtual;48;8;124.29;san jose;;;;;;;;;;;
fisica;52;5;2484.8;puntarenas;;;;;;;;;;;
fisica;83;8;412.04;cartago;;;;;;;;;;;
virtual;48;6;958.7;san jose;;;;;;;;;;;
fisica;51;2;1284.6;limon;;;;;;;;;;;
fisica;82;2;244.59;cartago;;;;;;;;;;;
virtual;33;7;913.97;san jose;;;;;;;;;;;
fisica;32;1;107.18;limon;;;;;;;;;;;
fisica;53;2;2724.4;puntarenas;;;;;;;;;;;
fisica;21;5;2121.1;limon;;;;;;;;;;;
virtual;51;2;84.83;puntarenas;;;;;;;;;;;
fisica;34;7;73.88;san jose;;;;;;;;;;;
virtual;64;7;438.58;limon;;;;;;;;;;;
fisica;78;3;335.12;cartago;;;;;;;;;;;
virtual;37;2;422.42;san jose;;;;;;;;;;;
fisica;29;4;2891.2;puntarenas;;;;;;;;;;;
fisica;57;2;70.53;cartago;;;;;;;;;;;
virtual;48;4;1612.9;puntarenas;;;;;;;;;;;
fisica;58;8;403.34;cartago;;;;;;;;;;;
virtual;25;7;266.33;puntarenas;;;;;;;;;;;
virtual;62;6;432.38;san jose;;;;;;;;;;;
fisica;65;6;438.1;cartago;;;;;;;;;;;
virtual;52;3;1847.1;puntarenas;;;;;;;;;;;
fisica;62;4;249.38;cartago;;;;;;;;;;;
virtual;51;5;1960.3;san jose;;;;;;;;;;;
virtual;27;3;635.62;san jose;;;;;;;;;;;
fisica;58;6;100.21;cartago;;;;;;;;;;;
virtual;25;4;595.83;limon;;;;;;;;;;;
virtual;54;5;1576.3;puntarenas;;;;;;;;;;;
virtual;35;7;311.96;limon;;;;;;;;;;;
virtual;62;3;623.93;san jose;;;;;;;;;;;
virtual;29;2;190.52;puntarenas;;;;;;;;;;;
fisica;84;4;41.42;cartago;;;;;;;;;;;
fisica;81;2;260.36;cartago;;;;;;;;;;;
fisica;73;1;354.5;cartago;;;;;;;;;;;
virtual;24;2;537.05;limon;;;;;;;;;;;
virtual;65;5;155;san jose;;;;;;;;;;;
virtual;72;5;336.97;san jose;;;;;;;;;;;
fisica;71;7;476.69;cartago;;;;;;;;;;;
virtual;43;6;890.64;limon;;;;;;;;;;;
virtual;48;8;1886.9;puntarenas;;;;;;;;;;;
fisica;76;2;207.61;cartago;;;;;;;;;;;
fisica;76;6;140.5;cartago;;;;;;;;;;;
virtual;32;8;1854.7;puntarenas;;;;;;;;;;;
fisica;84;1;319.1;cartago;;;;;;;;;;;
virtual;72;8;419.21;limon;;;;;;;;;;;
fisica;56;4;2778.6;limon;;;;;;;;;;;
virtual;69;8;239.43;san jose;;;;;;;;;;;
virtual;36;2;1850.2;puntarenas;;;;;;;;;;;
fisica;49;7;246.13;san jose;;;;;;;;;;;
virtual;46;2;544.44;limon;;;;;;;;;;;
fisica;30;6;325.42;puntarenas;;;;;;;;;;;
virtual;57;1;273.05;san jose;;;;;;;;;;;
virtual;53;5;168.49;puntarenas;;;;;;;;;;;
virtual;42;3;1488.1;puntarenas;;;;;;;;;;;
fisica;37;5;405.54;puntarenas;;;;;;;;;;;
virtual;57;3;759.77;limon;;;;;;;;;;;
fisica;35;4;2100.1;limon;;;;;;;;;;;
virtual;36;7;944.79;puntarenas;;;;;;;;;;;
virtual;40;4;384.11;limon;;;;;;;;;;;
fisica;61;5;1321.5;limon;;;;;;;;;;;
fisica;38;1;305.31;cartago;;;;;;;;;;;
virtual;49;5;507.46;puntarenas;;;;;;;;;;;
virtual;67;3;776.16;limon;;;;;;;;;;;
fisica;56;5;35.12;cartago;;;;;;;;;;;
fisica;44;5;2856.8;puntarenas;;;;;;;;;;;
fisica;28;3;912.56;san jose;;;;;;;;;;;
fisica;54;1;630.38;san jose;;;;;;;;;;;
virtual;21;3;483.34;puntarenas;;;;;;;;;;;
virtual;38;1;1992.3;puntarenas;;;;;;;;;;;
fisica;76;6;90.46;cartago;;;;;;;;;;;
fisica;41;7;112.66;cartago;;;;;;;;;;;
fisica;25;2;112.11;limon;;;;;;;;;;;
fisica;54;8;2202.6;limon;;;;;;;;;;;
fisica;42;6;1524.1;puntarenas;;;;;;;;;;;
virtual;33;4;831.32;puntarenas;;;;;;;;;;;
fisica;56;4;224.44;cartago;;;;;;;;;;;
virtual;28;3;581.8;limon;;;;;;;;;;;
fisica;57;6;2179.3;puntarenas;;;;;;;;;;;
fisica;27;3;1872.5;puntarenas;;;;;;;;;;;
fisica;46;4;198.2;cartago;;;;;;;;;;;
fisica;35;2;1851.4;limon;;;;;;;;;;;
fisica;34;6;215.4;cartago;;;;;;;;;;;
virtual;37;3;374.08;san jose;;;;;;;;;;;
fisica;83;3;157.81;cartago;;;;;;;;;;;
virtual;30;5;519.27;puntarenas;;;;;;;;;;;
fisica;43;6;1899;puntarenas;;;;;;;;;;;
fisica;74;4;435.01;cartago;;;;;;;;;;;
virtual;51;6;1562.9;puntarenas;;;;;;;;;;;
fisica;31;8;1701.1;san jose;;;;;;;;;;;
fisica;21;4;392.51;puntarenas;;;;;;;;;;;
fisica;67;4;117.79;cartago;;;;;;;;;;;
virtual;49;3;887.48;puntarenas;;;;;;;;;;;
fisica;45;8;683.09;san jose;;;;;;;;;;;
virtual;63;7;426.24;san jose;;;;;;;;;;;
fisica;20;2;645.35;limon;;;;;;;;;;;
fisica;41;5;583.09;puntarenas;;;;;;;;;;;
fisica;20;4;1836.3;limon;;;;;;;;;;;
virtual;44;4;1474.9;puntarenas;;;;;;;;;;;
fisica;76;3;318.38;cartago;;;;;;;;;;;
virtual;57;3;533.93;limon;;;;;;;;;;;
fisica;60;2;2164;puntarenas;;;;;;;;;;;
virtual;64;7;902.11;san jose;;;;;;;;;;;
virtual;60;8;626.83;limon;;;;;;;;;;;
fisica;56;1;2338.1;puntarenas;;;;;;;;;;;
virtual;72;5;788.02;san jose;;;;;;;;;;;
fisica;58;3;2824.8;limon;;;;;;;;;;;
virtual;42;4;1951.1;puntarenas;;;;;;;;;;;
fisica;60;2;207.89;cartago;;;;;;;;;;;
fisica;71;2;509.49;san jose;;;;;;;;;;;
virtual;43;7;694.04;san jose;;;;;;;;;;;
virtual;35;2;615.56;limon;;;;;;;;;;;
fisica;31;7;460.01;cartago;;;;;;;;;;;
fisica;77;6;90.65;cartago;;;;;;;;;;;
fisica;50;6;1972.1;puntarenas;;;;;;;;;;;
fisica;80;7;299.57;cartago;;;;;;;;;;;
fisica;65;4;735.34;san jose;;;;;;;;;;;
virtual;29;1;1903.1;puntarenas;;;;;;;;;;;
fisica;83;4;334.37;cartago;;;;;;;;;;;
virtual;68;6;107.78;limon;;;;;;;;;;;
virtual;27;3;663.82;puntarenas;;;;;;;;;;;
virtual;30;3;763.36;puntarenas;;;;;;;;;;;
virtual;31;4;466.15;san jose;;;;;;;;;;;
fisica;59;5;2435.5;limon;;;;;;;;;;;
virtual;21;4;685.12;puntarenas;;;;;;;;;;;
virtual;25;7;311.09;san jose;;;;;;;;;;;
fisica;57;7;1421.4;limon;;;;;;;;;;;
fisica;56;7;1974.4;puntarenas;;;;;;;;;;;
virtual;27;2;64.74;limon;;;;;;;;;;;
fisica;49;7;67.66;cartago;;;;;;;;;;;
fisica;28;5;2132.7;limon;;;;;;;;;;;
fisica;25;1;2349.7;puntarenas;;;;;;;;;;;
virtual;44;5;408.61;san jose;;;;;;;;;;;
virtual;22;3;637.86;puntarenas;;;;;;;;;;;
fisica;34;4;1417.2;puntarenas;;;;;;;;;;;
fisica;43;2;374.81;limon;;;;;;;;;;;
virtual;41;3;834.5;limon;;;;;;;;;;;
fisica;24;1;2682.5;puntarenas;;;;;;;;;;;
fisica;34;3;762.59;puntarenas;;;;;;;;;;;
fisica;57;6;904.3;limon;;;;;;;;;;;
fisica;45;4;265.19;cartago;;;;;;;;;;;
virtual;41;5;509.84;puntarenas;;;;;;;;;;;
fisica;46;2;394.38;cartago;;;;;;;;;;;
virtual;58;3;640.74;san jose;;;;;;;;;;;
virtual;20;3;1374.2;puntarenas;;;;;;;;;;;
virtual;43;5;738.86;san jose;;;;;;;;;;;
fisica;38;6;676.67;puntarenas;;;;;;;;;;;
fisica;63;8;2931.8;limon;;;;;;;;;;;
fisica;82;8;45.53;cartago;;;;;;;;;;;
virtual;28;4;1166.9;puntarenas;;;;;;;;;;;
fisica;23;3;2661.2;puntarenas;;;;;;;;;;;
virtual;39;3;205.78;san jose;;;;;;;;;;;
fisica;29;3;114.94;cartago;;;;;;;;;;;
virtual;31;6;97.74;san jose;;;;;;;;;;;
fisica;51;1;1684.1;puntarenas;;;;;;;;;;;
fisica;66;2;65.93;cartago;;;;;;;;;;;
virtual;31;4;766.88;puntarenas;;;;;;;;;;;
virtual;28;3;1848;puntarenas;;;;;;;;;;;
fisica;68;5;130.43;cartago;;;;;;;;;;;
fisica;43;8;1773.9;puntarenas;;;;;;;;;;;
virtual;39;3;1599.4;san jose;;;;;;;;;;;
fisica;57;8;1036.3;puntarenas;;;;;;;;;;;
virtual;27;5;377.88;limon;;;;;;;;;;;
virtual;38;6;257.72;san jose;;;;;;;;;;;
virtual;54;4;842.06;limon;;;;;;;;;;;
fisica;27;5;181;puntarenas;;;;;;;;;;;
virtual;31;3;793.52;puntarenas;;;;;;;;;;;
fisica;44;2;466.82;cartago;;;;;;;;;;;
fisica;39;7;1192.9;san jose;;;;;;;;;;;
virtual;66;8;727.02;limon;;;;;;;;;;;
virtual;21;3;1969.9;puntarenas;;;;;;;;;;;
virtual;51;2;1678;puntarenas;;;;;;;;;;;
virtual;24;6;1317.3;puntarenas;;;;;;;;;;;
fisica;30;3;2210;puntarenas;;;;;;;;;;;
virtual;59;6;769.49;limon;;;;;;;;;;;
fisica;24;4;1789.8;limon;;;;;;;;;;;
fisica;73;6;698.13;san jose;;;;;;;;;;;
fisica;82;7;375.22;cartago;;;;;;;;;;;
fisica;50;4;217.2;san jose;;;;;;;;;;;
fisica;41;3;371.72;puntarenas;;;;;;;;;;;
fisica;30;1;745.19;puntarenas;;;;;;;;;;;
virtual;24;6;70.88;puntarenas;;;;;;;;;;;
fisica;20;4;322.39;puntarenas;;;;;;;;;;;
virtual;29;2;136.84;puntarenas;;;;;;;;;;;
fisica;32;4;237.52;san jose;;;;;;;;;;;
fisica;22;1;2350.6;puntarenas;;;;;;;;;;;
fisica;33;7;2468.7;limon;;;;;;;;;;;
fisica;24;3;1092.9;limon;;;;;;;;;;;
virtual;52;7;166.52;san jose;;;;;;;;;;;
virtual;30;4;1625.6;san jose;;;;;;;;;;;
virtual;51;4;764.23;san jose;;;;;;;;;;;
fisica;60;7;269.66;limon;;;;;;;;;;;
fisica;26;2;2711.6;puntarenas;;;;;;;;;;;
virtual;47;7;1395;san jose;;;;;;;;;;;
virtual;38;4;1338.1;san jose;;;;;;;;;;;
virtual;20;3;242.74;puntarenas;;;;;;;;;;;
virtual;67;8;621.66;san jose;;;;;;;;;;;
fisica;25;5;2110.2;puntarenas;;;;;;;;;;;
virtual;47;8;1845.2;puntarenas;;;;;;;;;;;
virtual;45;5;1795.7;puntarenas;;;;;;;;;;;
fisica;29;2;209.11;cartago;;;;;;;;;;;
virtual;35;5;472.95;limon;;;;;;;;;;;
fisica;54;7;344.65;cartago;;;;;;;;;;;
virtual;36;2;1316.4;san jose;;;;;;;;;;;
fisica;29;4;2115.7;limon;;;;;;;;;;;
fisica;32;6;434.05;cartago;;;;;;;;;;;
fisica;54;2;455.49;cartago;;;;;;;;;;;
fisica;51;5;1537.4;puntarenas;;;;;;;;;;;
fisica;27;1;736;puntarenas;;;;;;;;;;;
fisica;79;6;156.3;cartago;;;;;;;;;;;
fisica;40;6;1524.9;limon;;;;;;;;;;;
virtual;35;6;734.99;puntarenas;;;;;;;;;;;
virtual;67;2;554.03;limon;;;;;;;;;;;
virtual;73;8;557.03;san jose;;;;;;;;;;;
fisica;24;6;1137.1;puntarenas;;;;;;;;;;;
fisica;49;2;2702.2;limon;;;;;;;;;;;
fisica;36;1;1639.8;limon;;;;;;;;;;;
fisica;50;3;172.93;cartago;;;;;;;;;;;
virtual;31;7;831.7;limon;;;;;;;;;;;
fisica;46;4;343.68;cartago;;;;;;;;;;;
fisica;50;7;317.46;san jose;;;;;;;;;;;
fisica;82;8;132.24;cartago;;;;;;;;;;;
fisica;59;2;1922.6;limon;;;;;;;;;;;
fisica;39;3;261.26;puntarenas;;;;;;;;;;;
fisica;77;8;190.94;cartago;;;;;;;;;;;
fisica;41;4;1374.9;limon;;;;;;;;;;;
fisica;24;3;1365.6;limon;;;;;;;;;;;
fisica;19;3;1231.2;limon;;;;;;;;;;;
virtual;35;1;306.82;limon;;;;;;;;;;;
fisica;26;6;379.97;puntarenas;;;;;;;;;;;
virtual;37;6;875.44;limon;;;;;;;;;;;
fisica;56;5;148.84;cartago;;;;;;;;;;;
fisica;83;4;457.64;cartago;;;;;;;;;;;
virtual;53;3;109.77;puntarenas;;;;;;;;;;;
virtual;69;1;629.01;san jose;;;;;;;;;;;
fisica;37;3;479.67;cartago;;;;;;;;;;;
virtual;23;7;678.77;puntarenas;;;;;;;;;;;
virtual;42;6;1276.3;puntarenas;;;;;;;;;;;
fisica;75;7;93.98;cartago;;;;;;;;;;;
virtual;48;5;639.47;san jose;;;;;;;;;;;
fisica;44;7;28.72;cartago;;;;;;;;;;;
virtual;29;4;252.34;limon;;;;;;;;;;;
fisica;68;3;580;san jose;;;;;;;;;;;
fisica;28;7;718.7;puntarenas;;;;;;;;;;;
fisica;30;1;971.01;limon;;;;;;;;;;;
fisica;27;5;587.34;puntarenas;;;;;;;;;;;
virtual;42;2;1659.9;puntarenas;;;;;;;;;;;
virtual;50;2;766.99;limon;;;;;;;;;;;
fisica;64;2;245.61;cartago;;;;;;;;;;;
virtual;71;6;200.06;san jose;;;;;;;;;;;
virtual;44;2;511.99;limon;;;;;;;;;;;
virtual;53;8;487.62;puntarenas;;;;;;;;;;;
virtual;59;6;413.34;san jose;;;;;;;;;;;
fisica;75;5;207.93;cartago;;;;;;;;;;;
virtual;35;6;702.98;san jose;;;;;;;;;;;
virtual;27;5;704.64;puntarenas;;;;;;;;;;;
fisica;39;1;132.48;cartago;;;;;;;;;;;
virtual;50;6;1902;san jose;;;;;;;;;;;
virtual;25;4;280.88;puntarenas;;;;;;;;;;;
fisica;57;1;489.1;cartago;;;;;;;;;;;
virtual;53;3;646.75;limon;;;;;;;;;;;
virtual;26;3;765.38;puntarenas;;;;;;;;;;;
fisica;59;6;1189.5;limon;;;;;;;;;;;
fisica;34;1;1455.8;limon;;;;;;;;;;;
fisica;63;6;31.51;cartago;;;;;;;;;;;
virtual;68;7;574.15;limon;;;;;;;;;;;
virtual;65;5;488.17;san jose;;;;;;;;;;;
virtual;23;4;943.31;puntarenas;;;;;;;;;;;
fisica;42;5;1902.4;limon;;;;;;;;;;;
fisica;55;4;101.18;san jose;;;;;;;;;;;
fisica;51;2;2475.1;puntarenas;;;;;;;;;;;
fisica;58;3;2852.5;limon;;;;;;;;;;;
fisica;72;2;464.05;cartago;;;;;;;;;;;
fisica;51;1;1210.5;limon;;;;;;;;;;;
fisica;68;7;184.42;cartago;;;;;;;;;;;
virtual;27;2;937.91;puntarenas;;;;;;;;;;;
fisica;63;2;485.78;cartago;;;;;;;;;;;
fisica;76;2;166.37;cartago;;;;;;;;;;;
virtual;71;8;791.11;san jose;;;;;;;;;;;
fisica;51;6;1578;limon;;;;;;;;;;;
virtual;23;4;1854.2;puntarenas;;;;;;;;;;;
virtual;24;8;247.64;puntarenas;;;;;;;;;;;
fisica;25;2;1051.8;puntarenas;;;;;;;;;;;
virtual;37;7;1520.4;puntarenas;;;;;;;;;;;
virtual;35;6;563.8;san jose;;;;;;;;;;;
virtual;35;8;1433.8;puntarenas;;;;;;;;;;;
virtual;51;7;116.34;puntarenas;;;;;;;;;;;
virtual;63;7;857.67;san jose;;;;;;;;;;;
fisica;79;2;270.36;cartago;;;;;;;;;;;
virtual;43;6;449.32;limon;;;;;;;;;;;
fisica;22;3;2710.3;puntarenas;;;;;;;;;;;
virtual;58;6;449.7;limon;;;;;;;;;;;
virtual;32;3;515.35;limon;;;;;;;;;;;
virtual;24;4;1760.1;puntarenas;;;;;;;;;;;
fisica;66;2;39.36;cartago;;;;;;;;;;;
fisica;65;6;489.73;cartago;;;;;;;;;;;
virtual;36;3;328.66;limon;;;;;;;;;;;
fisica;23;4;1938.1;puntarenas;;;;;;;;;;;
virtual;37;3;1468.2;puntarenas;;;;;;;;;;;
fisica;63;3;262.3;cartago;;;;;;;;;;;
fisica;54;1;381.69;limon;;;;;;;;;;;
fisica;49;3;1438.1;limon;;;;;;;;;;;
fisica;26;5;2828.8;puntarenas;;;;;;;;;;;
fisica;63;4;1708.6;puntarenas;;;;;;;;;;;
virtual;31;4;1051.2;san jose;;;;;;;;;;;
fisica;85;6;25.69;cartago;;;;;;;;;;;
virtual;68;5;870.57;san jose;;;;;;;;;;;
fisica;43;3;1947.1;limon;;;;;;;;;;;
fisica;40;8;329.09;cartago;;;;;;;;;;;
virtual;20;5;1111.5;puntarenas;;;;;;;;;;;
virtual;36;2;1973.5;puntarenas;;;;;;;;;;;
fisica;45;8;415.73;cartago;;;;;;;;;;;
fisica;51;5;1733.7;limon;;;;;;;;;;;
virtual;27;5;1619.3;san jose;;;;;;;;;;;
fisica;44;3;1304.2;puntarenas;;;;;;;;;;;
fisica;38;6;493.81;puntarenas;;;;;;;;;;;
fisica;84;4;312.94;cartago;;;;;;;;;;;
fisica;41;6;351.87;cartago;;;;;;;;;;;
fisica;69;3;176.47;cartago;;;;;;;;;;;
fisica;78;8;13.86;cartago;;;;;;;;;;;
virtual;54;3;243.04;limon;;;;;;;;;;;
fisica;47;4;115.94;puntarenas;;;;;;;;;;;
virtual;52;5;1682.5;san jose;;;;;;;;;;;
fisica;30;1;340.86;limon;;;;;;;;;;;
fisica;60;7;627.73;puntarenas;;;;;;;;;;;
fisica;37;2;2652.8;puntarenas;;;;;;;;;;;
virtual;48;4;1050.1;san jose;;;;;;;;;;;
fisica;50;3;422.93;cartago;;;;;;;;;;;
virtual;29;7;1574.7;puntarenas;;;;;;;;;;;
fisica;46;2;278.9;cartago;;;;;;;;;;;
virtual;50;2;500.7;limon;;;;;;;;;;;
fisica;84;8;34.07;cartago;;;;;;;;;;;
virtual;42;7;217.78;san jose;;;;;;;;;;;
fisica;31;8;425;cartago;;;;;;;;;;;
virtual;28;4;1488.8;puntarenas;;;;;;;;;;;
virtual;51;4;128.67;puntarenas;;;;;;;;;;;
fisica;72;3;377.59;cartago;;;;;;;;;;;
virtual;44;7;702.24;limon;;;;;;;;;;;
virtual;19;3;1718;puntarenas;;;;;;;;;;;
fisica;59;5;2051.6;limon;;;;;;;;;;;
fisica;42;8;1252.9;puntarenas;;;;;;;;;;;
virtual;54;2;1873.3;puntarenas;;;;;;;;;;;
fisica;34;4;513.24;puntarenas;;;;;;;;;;;
fisica;24;2;89.84;san jose;;;;;;;;;;;
virtual;27;5;773.75;puntarenas;;;;;;;;;;;
virtual;34;1;1278.2;puntarenas;;;;;;;;;;;
virtual;56;7;542.08;limon;;;;;;;;;;;
virtual;38;4;406.9;limon;;;;;;;;;;;
virtual;58;8;206.69;san jose;;;;;;;;;;;
fisica;70;2;330.1;cartago;;;;;;;;;;;
fisica;31;5;2592.6;puntarenas;;;;;;;;;;;
virtual;68;5;362.2;limon;;;;;;;;;;;
virtual;30;4;716.4;limon;;;;;;;;;;;
fisica;48;8;324.59;cartago;;;;;;;;;;;
fisica;58;1;2904.9;puntarenas;;;;;;;;;;;
fisica;79;6;323.44;cartago;;;;;;;;;;;
fisica;46;6;13.87;cartago;;;;;;;;;;;
fisica;51;3;5.91;cartago;;;;;;;;;;;
fisica;78;6;309.57;cartago;;;;;;;;;;;
virtual;51;4;1985;puntarenas;;;;;;;;;;;
fisica;74;2;90.3;cartago;;;;;;;;;;;
fisica;66;8;237.77;cartago;;;;;;;;;;;
fisica;82;6;228.7;cartago;;;;;;;;;;;
virtual;51;6;992.21;puntarenas;;;;;;;;;;;
virtual;25;8;1014.5;san jose;;;;;;;;;;;
virtual;50;4;670.79;limon;;;;;;;;;;;
fisica;49;7;438.26;cartago;;;;;;;;;;;
fisica;59;3;491.16;cartago;;;;;;;;;;;
fisica;79;6;414.48;cartago;;;;;;;;;;;
fisica;64;3;201.31;cartago;;;;;;;;;;;
virtual;21;3;1602.8;puntarenas;;;;;;;;;;;
fisica;82;3;483.6;cartago;;;;;;;;;;;
virtual;48;7;1227.9;san jose;;;;;;;;;;;
fisica;66;4;314.61;cartago;;;;;;;;;;;
fisica;77;5;381.81;cartago;;;;;;;;;;;
virtual;38;5;778.19;puntarenas;;;;;;;;;;;
virtual;42;3;967.27;limon;;;;;;;;;;;
fisica;80;8;7.65;cartago;;;;;;;;;;;
fisica;44;7;425.1;cartago;;;;;;;;;;;
fisica;18;4;413.4;puntarenas;;;;;;;;;;;
fisica;44;3;814.25;san jose;;;;;;;;;;;
fisica;62;3;12.97;cartago;;;;;;;;;;;
virtual;27;6;664.71;limon;;;;;;;;;;;
fisica;50;4;212.82;cartago;;;;;;;;;;;
virtual;31;5;389.85;limon;;;;;;;;;;;
fisica;55;2;109.98;cartago;;;;;;;;;;;
virtual;62;5;713.7;limon;;;;;;;;;;;
virtual;45;7;170.35;limon;;;;;;;;;;;
virtual;39;4;1606.1;puntarenas;;;;;;;;;;;
virtual;41;4;512.84;puntarenas;;;;;;;;;;;
fisica;19;7;1864.3;puntarenas;;;;;;;;;;;
fisica;68;4;125.56;cartago;;;;;;;;;;;
virtual;44;8;1005.6;puntarenas;;;;;;;;;;;
fisica;30;1;265.52;limon;;;;;;;;;;;
fisica;30;3;1960;puntarenas;;;;;;;;;;;
fisica;40;7;1367.3;limon;;;;;;;;;;;
fisica;46;5;360.36;cartago;;;;;;;;;;;
virtual;53;6;102.18;limon;;;;;;;;;;;
fisica;65;8;50.27;cartago;;;;;;;;;;;
fisica;29;7;456.04;cartago;;;;;;;;;;;
virtual;72;2;880.18;limon;;;;;;;;;;;
virtual;33;7;401.25;puntarenas;;;;;;;;;;;
virtual;72;2;502.89;san jose;;;;;;;;;;;
virtual;24;2;1708;san jose;;;;;;;;;;;
fisica;69;6;133.63;cartago;;;;;;;;;;;
fisica;46;6;995.41;san jose;;;;;;;;;;;
fisica;21;7;1277.8;puntarenas;;;;;;;;;;;
fisica;46;6;444.49;cartago;;;;;;;;;;;
virtual;48;2;146.71;limon;;;;;;;;;;;
fisica;44;8;46.72;cartago;;;;;;;;;;;
fisica;56;5;373.67;cartago;;;;;;;;;;;
fisica;44;6;1022.5;puntarenas;;;;;;;;;;;
fisica;29;5;325.36;cartago;;;;;;;;;;;
fisica;39;7;75.13;cartago;;;;;;;;;;;
fisica;27;7;144.49;puntarenas;;;;;;;;;;;
fisica;46;2;264.97;cartago;;;;;;;;;;;
fisica;59;2;1719.9;puntarenas;;;;;;;;;;;
fisica;41;5;98.8;cartago;;;;;;;;;;;
virtual;41;6;351.96;limon;;;;;;;;;;;
fisica;23;7;2275.6;puntarenas;;;;;;;;;;;
virtual;52;3;1437.6;puntarenas;;;;;;;;;;;
fisica;25;6;132.9;puntarenas;;;;;;;;;;;
virtual;52;2;1528;puntarenas;;;;;;;;;;;
virtual;47;7;608.93;san jose;;;;;;;;;;;
fisica;40;2;174.55;cartago;;;;;;;;;;;
virtual;46;7;955.19;limon;;;;;;;;;;;
virtual;59;8;515.39;limon;;;;;;;;;;;
fisica;31;6;1318.3;san jose;;;;;;;;;;;
fisica;76;3;457.98;cartago;;;;;;;;;;;
virtual;37;6;1447.5;san jose;;;;;;;;;;;
fisica;44;4;179.88;puntarenas;;;;;;;;;;;
fisica;65;6;112.63;cartago;;;;;;;;;;;
virtual;28;7;955.66;san jose;;;;;;;;;;;
fisica;51;4;637.43;san jose;;;;;;;;;;;
virtual;19;7;1073.5;puntarenas;;;;;;;;;;;
virtual;44;2;917.42;limon;;;;;;;;;;;
virtual;40;6;574.84;limon;;;;;;;;;;;
fisica;72;3;270.89;cartago;;;;;;;;;;;
fisica;60;5;302.32;cartago;;;;;;;;;;;
virtual;28;4;803.64;limon;;;;;;;;;;;
fisica;26;1;2831.6;puntarenas;;;;;;;;;;;
fisica;51;5;285.02;puntarenas;;;;;;;;;;;
fisica;37;6;362.23;cartago;;;;;;;;;;;
fisica;28;1;957.02;puntarenas;;;;;;;;;;;
fisica;48;5;1055.5;puntarenas;;;;;;;;;;;
virtual;21;3;961.87;san jose;;;;;;;;;;;
fisica;44;6;2281.8;limon;;;;;;;;;;;
fisica;59;7;375.23;cartago;;;;;;;;;;;
virtual;63;2;565.02;limon;;;;;;;;;;;
virtual;57;7;779.17;limon;;;;;;;;;;;
virtual;54;5;937.19;limon;;;;;;;;;;;
fisica;27;6;221.4;puntarenas;;;;;;;;;;;
virtual;38;7;552.76;puntarenas;;;;;;;;;;;
fisica;65;2;441.87;cartago;;;;;;;;;;;
virtual;45;2;653.51;limon;;;;;;;;;;;
virtual;41;8;410.81;limon;;;;;;;;;;;
virtual;43;4;140.84;san jose;;;;;;;;;;;
virtual;29;1;1799.6;puntarenas;;;;;;;;;;;
fisica;33;2;2441.2;puntarenas;;;;;;;;;;;
fisica;61;5;360.21;limon;;;;;;;;;;;
fisica;47;3;387.52;cartago;;;;;;;;;;;
virtual;54;2;1705.8;puntarenas;;;;;;;;;;;
virtual;27;1;538.64;puntarenas;;;;;;;;;;;
virtual;42;5;426.91;san jose;;;;;;;;;;;
virtual;64;3;579.33;limon;;;;;;;;;;;
virtual;19;5;1816.1;puntarenas;;;;;;;;;;;
fisica;74;6;459.53;san jose;;;;;;;;;;;
virtual;47;5;1075.5;san jose;;;;;;;;;;;
fisica;43;4;305.64;cartago;;;;;;;;;;;
virtual;46;6;1531;puntarenas;;;;;;;;;;;
fisica;45;5;1941.6;limon;;;;;;;;;;;
fisica;32;4;1843.7;puntarenas;;;;;;;;;;;
fisica;26;6;2619.1;puntarenas;;;;;;;;;;;
fisica;40;6;61.36;cartago;;;;;;;;;;;
fisica;27;4;390.69;puntarenas;;;;;;;;;;;
fisica;36;3;251.86;cartago;;;;;;;;;;;
